Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, Point of Control, Value Area High Value, Value Area Low Value, Volume Weighted Average Price, Previous Day Close Line, Previous Day High Line, Previous Day Low Line, Daily Open at 08:00, Cash Market Open at 09:00, Open, High, Low, Close
2023-8-28, 02:00:00.000000, 15728, 15745, 15721, 15741, 126, 119, 15734, 15736, 15733, 52, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, -9, 22
2023-8-28, 02:30:00.000000, 15741, 15747, 15734, 15741, 96, 94, 15741, 15741, 15741, 50, 46, 0, 0, 0, 0, 0, 0, 340282346638528859811704183484516925440, 0, 0, 22, 38, 16, 18
2023-8-28, 03:00:00.000000, 15743, 15764, 15743, 15762, 211, 189, 15753, 15756, 15754, 124, 87, 0, 0, 0, 0, 0, 0, 340282346638528859811704183484516925440, 0, 0, 18, 29, -21, -19
2023-8-28, 03:30:00.000000, 15762, 15763, 15749, 15754, 136, 135, 15757, 15755, 15756, 71, 65, 0, 0, 0, 0, 0, 0, 340282346638528859811704183484516925440, 0, 0, -19, -6, -32, -25
2023-8-28, 04:00:00.000000, 15753, 15760, 15748, 15754, 54, 54, 15754, 15754, 15754, 31, 23, 0, 0, 0, 0, 0, 0, 340282346638528859811704183484516925440, 0, 0, -25, -21, -34, -33
2023-8-28, 04:30:00.000000, 15756, 15763, 15755, 15762, 19, 19, 15759, 15760, 15759, 10, 9, 0, 0, 0, 0, 0, 0, 340282346638528859811704183484516925440, 0, 0, -33, -30, -36, -34
2023-8-28, 05:00:00.000000, 15762, 15762, 15750, 15752, 75, 75, 15757, 15755, 15756, 33, 42, 0, 0, 0, 0, 0, 0, 340282346638528859811704183484516925440, 0, 0, -34, -18, -34, -25
2023-8-28, 05:30:00.000000, 15753, 15758, 15750, 15752, 38, 38, 15753, 15753, 15754, 13, 25, 0, 0, 0, 0, 0, 0, 340282346638528859811704183484516925440, 0, 0, -25, -10, -30, -13
2023-8-28, 06:00:00.000000, 15751, 15755, 15748, 15752, 71, 70, 15752, 15752, 15752, 29, 42, 0, 0, 0, 0, 0, 0, 340282346638528859811704183484516925440, 0, 0, -12, 4, -12, 0
2023-8-28, 06:30:00.000000, 15750, 15752, 15747, 15750, 62, 60, 15750, 15750, 15750, 34, 28, 0, 0, 0, 0, 0, 0, 340282346638528859811704183484516925440, 0, 0, 0, 3, -9, -6
2023-8-28, 07:00:00.000000, 15749, 15750, 15743, 15746, 90, 90, 15747, 15746, 15747, 51, 39, 0, 0, 0, 0, 0, 0, 340282346638528859811704183484516925440, 0, 0, -6, -4, -27, -18
2023-8-28, 07:30:00.000000, 15747, 15772, 15747, 15771, 318, 293, 15759, 15763, 15760, 137, 181, 0, 0, 0, 0, 0, 0, 340282346638528859811704183484516925440, 0, 0, -17, 28, -17, 26
2023-8-28, 08:00:00.000000, 15771, 15792, 15761, 15785, 1155, 902, 15777, 15779, 15777, 583, 572, 0, 0, 0, 0, 0, 0, 340282346638528859811704183484516925440, 15771, 0, 26, 182, 4, 15
2023-8-28, 08:30:00.000000, 15785, 15796, 15773, 15778, 882, 785, 15783, 15782, 15785, 458, 424, 0, 0, 0, 0, 0, 0, 340282346638528859811704183484516925440, 15771, 0, 15, 65, -35, -19
