Date;Symbol;Indexvalue
01.02.2005;V1X;12.91
02.02.2005;V1X;12.83
03.02.2005;V1X;13.08
04.02.2005;V1X;12.48
07.02.2005;V1X;12.64
08.02.2005;V1X;12.43
09.02.2005;V1X;12.63
10.02.2005;V1X;12.64
11.02.2005;V1X;12.26
14.02.2005;V1X;12.58
15.02.2005;V1X;12.57
16.02.2005;V1X;13.74
17.02.2005;V1X;13.64
18.02.2005;V1X;13.67
21.02.2005;V1X;13.87
22.02.2005;V1X;14.11
23.02.2005;V1X;14.2
24.02.2005;V1X;13.62
25.02.2005;V1X;12.84
28.02.2005;V1X;13.02
01.03.2005;V1X;12.7
02.03.2005;V1X;13.09
03.03.2005;V1X;13.06
04.03.2005;V1X;12.32
07.03.2005;V1X;12.1
08.03.2005;V1X;12.47
09.03.2005;V1X;13.24
10.03.2005;V1X;14.08
11.03.2005;V1X;13.29
14.03.2005;V1X;13.25
15.03.2005;V1X;12.58
16.03.2005;V1X;14.11
17.03.2005;V1X;13.6
18.03.2005;V1X;12.67
21.03.2005;V1X;13.25
22.03.2005;V1X;13.12
23.03.2005;V1X;13.29
24.03.2005;V1X;12.67
25.03.2005;V1X;12.67
29.03.2005;V1X;13.37
30.03.2005;V1X;13.51
31.03.2005;V1X;13.14
01.04.2005;V1X;12.81
04.04.2005;V1X;13.75
05.04.2005;V1X;13.14
06.04.2005;V1X;12.7
07.04.2005;V1X;12.27
08.04.2005;V1X;12.07
11.04.2005;V1X;12.16
12.04.2005;V1X;12.57
13.04.2005;V1X;12.01
14.04.2005;V1X;11.65
15.04.2005;V1X;14.38
18.04.2005;V1X;18.23
19.04.2005;V1X;17.11
20.04.2005;V1X;17.56
21.04.2005;V1X;16.94
22.04.2005;V1X;15.73
25.04.2005;V1X;15.46
26.04.2005;V1X;15.66
27.04.2005;V1X;16.72
28.04.2005;V1X;16.62
29.04.2005;V1X;16.87
02.05.2005;V1X;16.11
03.05.2005;V1X;15.37
04.05.2005;V1X;14.85
05.05.2005;V1X;13.59
06.05.2005;V1X;13.53
09.05.2005;V1X;14.09
10.05.2005;V1X;15.08
11.05.2005;V1X;15.69
12.05.2005;V1X;15.07
13.05.2005;V1X;15.08
16.05.2005;V1X;15.48
17.05.2005;V1X;15.53
18.05.2005;V1X;13.96
19.05.2005;V1X;13.92
20.05.2005;V1X;13.85
23.05.2005;V1X;13.76
24.05.2005;V1X;13.78
25.05.2005;V1X;13.58
26.05.2005;V1X;13.02
27.05.2005;V1X;13.09
30.05.2005;V1X;13.06
31.05.2005;V1X;13.69
01.06.2005;V1X;13.46
02.06.2005;V1X;13.2
03.06.2005;V1X;13.11
06.06.2005;V1X;13.37
07.06.2005;V1X;12.55
08.06.2005;V1X;12.9
09.06.2005;V1X;13.07
10.06.2005;V1X;12.83
13.06.2005;V1X;13
14.06.2005;V1X;12.84
15.06.2005;V1X;13.29
16.06.2005;V1X;13.01
17.06.2005;V1X;12.73
20.06.2005;V1X;13.01
21.06.2005;V1X;12.67
22.06.2005;V1X;12.82
23.06.2005;V1X;12.4
24.06.2005;V1X;12.93
27.06.2005;V1X;13.59
28.06.2005;V1X;13.03
29.06.2005;V1X;12.51
30.06.2005;V1X;12.32
01.07.2005;V1X;12.06
04.07.2005;V1X;12.3
05.07.2005;V1X;12.91
